event_time,user_id,category,amount,status
2026-06-03 15:59:41,u009,food,119.42,paid
2026-06-03 15:59:54,u036,electronics,49.92,paid
2026-06-03 15:59:56,u042,electronics,13.29,cancelled
2026-06-03 15:59:59,u049,books,168.9,paid
2026-06-03 16:00:10,u031,books,341.17,pending
2026-06-03 16:00:34,u043,food,347.38,cancelled
2026-06-03 16:00:58,u046,books,159.69,paid
2026-06-03 16:01:01,u025,sports,432.83,paid
2026-06-03 16:01:31,u044,sports,213.3,pending
2026-06-03 16:01:34,u026,electronics,240.25,paid
2026-06-03 16:02:09,u029,sports,29.85,paid
2026-06-03 16:02:34,u002,sports,402.19,cancelled
2026-06-03 16:02:44,u022,books,91.99,paid
2026-06-03 16:02:49,u037,food,486.35,paid
2026-06-03 16:02:54,u050,sports,253.56,paid
2026-06-03 16:03:59,u021,sports,229.57,cancelled
2026-06-03 16:04:01,u031,sports,166.81,paid
2026-06-03 16:04:08,u002,books,409.42,cancelled
2026-06-03 16:05:06,u044,books,462.56,paid
2026-06-03 16:05:54,u017,electronics,193.64,paid
2026-06-03 16:07:08,u042,sports,425.67,paid
2026-06-03 16:08:08,u032,sports,275.22,cancelled
2026-06-03 16:09:34,u033,books,188.57,cancelled
2026-06-03 16:09:56,u004,sports,317.66,pending
2026-06-03 16:10:34,u035,electronics,188.35,paid
2026-06-03 16:10:41,u012,sports,14.85,cancelled
2026-06-03 16:10:49,u035,books,468.75,paid
2026-06-03 16:10:56,u028,food,143.9,cancelled
2026-06-03 16:11:26,u047,books,214.5,cancelled
2026-06-03 16:11:39,u024,sports,257.51,pending
2026-06-03 16:11:41,u028,food,126.66,paid
2026-06-03 16:12:21,u001,electronics,441.69,paid
2026-06-03 16:12:41,u048,electronics,240.67,paid
2026-06-03 16:12:54,u043,electronics,454.32,paid
2026-06-03 16:13:01,u025,sports,65.78,paid
2026-06-03 16:13:21,u041,sports,322.48,paid
2026-06-03 16:14:44,u026,books,200.3,paid
2026-06-03 16:14:46,u039,books,238.31,paid
2026-06-03 16:14:50,u044,food,172.24,cancelled
2026-06-03 16:14:53,u030,books,405.93,paid
2026-06-03 16:14:54,u050,books,384.62,cancelled
2026-06-03 16:14:54,u017,food,402.05,paid
2026-06-03 16:14:56,u032,food,366.41,paid
2026-06-03 16:14:56,u008,food,419.8,pending
2026-06-03 16:14:57,u048,sports,259.86,paid
2026-06-03 16:14:58,u047,books,192.83,paid
2026-06-03 16:14:59,u027,sports,9.26,paid
2026-06-03 16:15:02,u028,food,469.63,cancelled
2026-06-03 16:15:04,u050,books,127.32,pending
2026-06-03 16:15:07,u048,food,281.62,paid
2026-06-03 16:15:07,u035,food,140.53,paid
2026-06-03 16:15:08,u018,books,131.89,paid
2026-06-03 16:15:08,u001,food,425.1,cancelled
2026-06-03 16:15:09,u031,electronics,75.2,pending
2026-06-03 16:15:09,u046,books,172.9,paid
2026-06-03 16:15:10,u019,electronics,271.44,paid
2026-06-03 16:15:11,u007,electronics,416.7,paid
2026-06-03 16:15:11,u026,books,253.12,cancelled
2026-06-03 16:15:11,u032,electronics,46.2,cancelled
2026-06-03 16:15:15,u048,food,446.4,paid
2026-06-03 16:15:16,u037,food,412.77,paid
2026-06-03 16:15:19,u021,sports,155.5,cancelled
2026-06-03 16:15:19,u020,books,45.95,paid
2026-06-03 16:15:20,u029,food,106.18,pending
2026-06-03 16:15:21,u028,electronics,297.8,paid
2026-06-03 16:15:22,u018,sports,244.41,paid
2026-06-03 16:15:25,u040,books,263.49,paid
2026-06-03 16:15:26,u012,sports,375.37,paid
2026-06-03 16:15:26,u022,books,83.74,paid
2026-06-03 16:15:26,u040,electronics,429.74,paid
2026-06-03 16:15:27,u001,books,35.98,paid
2026-06-03 16:15:28,u003,food,26.74,pending
2026-06-03 16:15:29,u014,books,30.28,pending
2026-06-03 16:15:30,u013,sports,135.75,pending
2026-06-03 16:15:31,u035,food,471.5,paid
2026-06-03 16:15:31,u017,electronics,121.67,paid
2026-06-03 16:15:32,u019,food,57.85,paid
2026-06-03 16:15:33,u030,sports,325.24,cancelled
2026-06-03 16:15:35,u024,electronics,302.03,paid
2026-06-03 16:15:35,u028,sports,281.55,paid
2026-06-03 16:15:36,u011,sports,273.59,cancelled
2026-06-03 16:15:37,u028,electronics,412.0,cancelled
2026-06-03 16:15:38,u001,sports,153.2,paid
2026-06-03 16:15:39,u025,books,394.91,paid
2026-06-03 16:15:39,u040,sports,426.6,paid
2026-06-03 16:15:40,u036,food,17.26,paid
2026-06-03 16:15:41,u049,food,155.06,paid
2026-06-03 16:15:42,u001,food,431.86,paid
2026-06-03 16:15:44,u034,sports,220.02,cancelled
2026-06-03 16:15:45,u037,food,384.83,paid
2026-06-03 16:15:48,u046,sports,54.9,paid
2026-06-03 16:15:49,u023,electronics,291.29,cancelled
2026-06-03 16:15:49,u037,food,192.93,pending
2026-06-03 16:15:51,u022,sports,453.94,paid
2026-06-03 16:15:51,u033,food,442.93,paid
2026-06-03 16:15:51,u021,food,364.08,cancelled
2026-06-03 16:15:51,u022,sports,171.7,cancelled
2026-06-03 16:15:51,u009,books,374.27,cancelled
2026-06-03 16:15:53,u015,electronics,265.19,paid
2026-06-03 16:15:56,u009,electronics,66.59,paid
2026-06-03 16:15:57,u028,electronics,429.52,paid
2026-06-03 16:15:58,u014,electronics,473.94,paid
2026-06-03 16:15:58,u012,food,450.35,cancelled
2026-06-03 16:16:00,u026,electronics,339.6,paid
2026-06-03 16:16:01,u015,food,9.98,paid
2026-06-03 16:16:02,u005,sports,138.31,paid
2026-06-03 16:16:04,u045,sports,36.09,paid
2026-06-03 16:16:05,u005,books,310.51,paid
2026-06-03 16:16:08,u035,books,467.22,paid
2026-06-03 16:16:09,u018,books,410.57,paid
2026-06-03 16:16:11,u032,food,304.44,paid
2026-06-03 16:16:12,u041,books,384.25,paid
2026-06-03 16:16:14,u044,food,387.3,paid
2026-06-03 16:16:33,u011,sports,360.59,paid
2026-06-03 16:16:35,u034,books,370.72,pending
2026-06-03 16:16:36,u029,electronics,345.18,cancelled
2026-06-03 16:16:46,u023,electronics,441.34,paid
2026-06-03 16:16:47,u048,electronics,68.48,cancelled
2026-06-03 16:16:48,u028,food,276.95,cancelled
2026-06-03 16:17:04,u010,sports,330.76,cancelled
2026-06-03 16:17:06,u014,food,347.8,paid
2026-06-03 16:17:10,u022,electronics,430.83,paid
2026-06-03 16:17:12,u024,electronics,451.27,paid
2026-06-03 16:17:13,u015,food,317.08,cancelled
2026-06-03 16:17:24,u037,books,333.47,cancelled
2026-06-03 16:17:30,u028,food,91.24,paid
2026-06-03 16:17:31,u006,sports,50.32,cancelled
2026-06-03 16:17:34,u011,books,262.17,paid
2026-06-03 16:17:44,u034,books,409.31,paid
2026-06-03 16:17:51,u043,books,47.71,cancelled
2026-06-03 16:17:53,u022,books,422.24,paid
2026-06-03 16:17:59,u035,food,465.29,paid
2026-06-03 16:18:01,u012,sports,80.36,paid
2026-06-03 16:18:02,u044,food,159.9,paid
2026-06-03 16:18:03,u014,books,106.32,paid
2026-06-03 16:18:03,u036,sports,86.88,pending
2026-06-03 16:18:03,u042,food,158.21,paid
2026-06-03 16:18:04,u045,sports,406.81,cancelled
2026-06-03 16:18:06,u035,food,112.83,pending
2026-06-03 16:18:07,u022,books,257.78,paid
2026-06-03 16:18:10,u024,sports,170.22,paid
2026-06-03 16:18:10,u005,books,97.61,paid
2026-06-03 16:18:12,u033,books,201.42,pending
2026-06-03 16:18:13,u007,electronics,308.71,paid
2026-06-03 16:18:16,u007,books,206.63,paid
2026-06-03 16:18:19,u017,books,490.72,cancelled
2026-06-03 16:18:30,u002,books,444.81,cancelled
2026-06-03 16:18:39,u018,food,52.63,cancelled
2026-06-03 16:18:40,u017,electronics,104.62,paid
2026-06-03 16:18:42,u029,books,64.65,paid
2026-06-03 16:18:43,u030,sports,435.5,paid
2026-06-03 16:18:43,u024,books,306.25,cancelled
2026-06-03 16:18:45,u001,sports,191.49,paid
2026-06-03 16:19:16,u044,electronics,346.97,pending
2026-06-03 16:19:36,u043,books,291.96,paid
2026-06-03 16:19:46,u045,books,374.98,paid
2026-06-03 16:21:21,u043,food,38.79,pending
2026-06-03 16:21:31,u025,electronics,152.67,paid
2026-06-03 16:21:46,u025,books,207.89,paid
2026-06-03 16:24:06,u026,electronics,483.52,paid
2026-06-03 16:24:11,u010,electronics,213.02,cancelled
2026-06-03 16:28:05,u044,sports,462.51,paid
2026-06-03 16:31:46,u012,food,463.29,paid
2026-06-03 16:31:51,u047,books,337.23,paid
2026-06-03 16:31:52,u021,food,291.68,paid
2026-06-03 16:31:53,u040,sports,43.87,paid
2026-06-03 16:31:53,u029,food,439.12,cancelled
2026-06-03 16:31:56,u045,sports,183.35,cancelled
2026-06-03 16:32:00,u009,books,11.18,cancelled
2026-06-03 16:32:00,u012,electronics,448.87,paid
2026-06-03 16:32:01,u035,sports,198.78,paid
2026-06-03 16:32:05,u048,food,78.53,paid
2026-06-03 16:32:06,u033,sports,47.94,paid
2026-06-03 16:32:09,u021,sports,107.49,paid
2026-06-03 16:32:14,u037,electronics,195.94,paid
2026-06-03 16:32:14,u034,electronics,205.99,pending
2026-06-03 16:32:15,u004,sports,37.3,paid
2026-06-03 16:32:15,u048,books,497.83,paid
2026-06-03 16:32:16,u046,electronics,436.92,paid
2026-06-03 16:32:16,u034,sports,216.46,paid
2026-06-03 16:32:18,u029,food,458.0,paid
2026-06-03 16:32:19,u002,sports,87.94,paid
2026-06-03 16:32:19,u030,electronics,275.09,paid
2026-06-03 16:32:20,u022,food,461.49,paid
2026-06-03 16:32:21,u005,books,309.38,paid
2026-06-03 16:32:21,u031,sports,468.07,paid
2026-06-03 16:32:22,u050,books,240.43,cancelled
2026-06-03 16:32:25,u031,food,144.29,paid
2026-06-03 16:32:26,u023,food,169.56,pending
2026-06-03 16:32:26,u043,sports,443.24,cancelled
2026-06-03 16:32:27,u001,books,74.32,paid
2026-06-03 16:32:28,u001,sports,442.65,paid
2026-06-03 16:32:28,u041,books,333.91,paid
2026-06-03 16:32:29,u040,food,255.4,pending
2026-06-03 16:32:29,u023,books,231.61,pending
2026-06-03 16:32:29,u045,sports,341.28,pending
2026-06-03 16:32:31,u037,food,301.53,paid
2026-06-03 16:32:32,u020,electronics,33.94,pending
2026-06-03 16:32:32,u042,food,130.66,paid
2026-06-03 16:32:33,u046,food,335.47,paid
2026-06-03 16:32:34,u027,sports,124.32,cancelled
2026-06-03 16:32:34,u047,books,249.22,cancelled
2026-06-03 16:32:35,u047,books,156.63,paid
2026-06-03 16:32:36,u020,electronics,212.91,paid
2026-06-03 16:32:36,u008,electronics,165.99,cancelled
2026-06-03 16:32:37,u028,electronics,305.44,paid
2026-06-03 16:32:38,u002,food,347.16,paid
2026-06-03 16:32:38,u012,electronics,489.63,paid
2026-06-03 16:32:39,u009,electronics,455.06,paid
2026-06-03 16:32:39,u034,food,78.83,paid
2026-06-03 16:32:39,u001,electronics,185.96,paid
2026-06-03 16:32:40,u045,food,5.54,paid
2026-06-03 16:32:40,u003,books,382.09,cancelled
2026-06-03 16:32:40,u011,food,299.98,cancelled
2026-06-03 16:32:40,u014,books,397.05,paid
2026-06-03 16:32:43,u016,sports,52.11,paid
2026-06-03 16:32:43,u046,food,236.09,pending
2026-06-03 16:32:44,u035,sports,207.44,cancelled
2026-06-03 16:32:44,u050,food,343.66,pending
2026-06-03 16:32:46,u023,sports,355.64,paid
2026-06-03 16:32:49,u006,food,388.87,paid
2026-06-03 16:32:53,u040,sports,445.95,cancelled
2026-06-03 16:32:53,u014,sports,81.46,paid
2026-06-03 16:32:54,u049,electronics,184.7,cancelled
2026-06-03 16:32:55,u007,sports,52.35,paid
2026-06-03 16:32:55,u023,food,173.43,paid
2026-06-03 16:32:57,u044,food,354.11,pending
2026-06-03 16:32:58,u010,books,434.6,paid
2026-06-03 16:32:58,u026,food,219.11,paid
2026-06-03 16:32:58,u013,sports,51.92,paid
2026-06-03 16:32:59,u011,sports,387.28,paid
2026-06-03 16:32:59,u026,books,399.37,paid
2026-06-03 16:33:00,u014,books,177.46,paid
2026-06-03 16:33:00,u010,food,57.69,cancelled
2026-06-03 16:33:02,u015,books,459.04,paid
2026-06-03 16:33:03,u003,electronics,95.26,pending
2026-06-03 16:33:04,u010,food,275.07,paid
2026-06-03 16:33:04,u016,books,287.59,cancelled
2026-06-03 16:33:04,u019,sports,100.75,pending
2026-06-03 16:33:05,u011,books,443.67,paid
2026-06-03 16:33:06,u037,electronics,316.39,paid
2026-06-03 16:33:06,u030,books,373.2,paid
2026-06-03 16:33:07,u014,sports,144.87,cancelled
2026-06-03 16:33:07,u011,electronics,120.54,paid
2026-06-03 16:33:08,u028,electronics,276.13,paid
2026-06-03 16:33:08,u016,electronics,458.26,pending
2026-06-03 16:33:10,u029,books,418.32,cancelled
2026-06-03 16:33:10,u037,sports,198.48,pending
2026-06-03 16:33:10,u017,electronics,94.94,paid
2026-06-03 16:33:11,u039,electronics,227.54,paid
2026-06-03 16:33:12,u019,sports,29.65,pending
2026-06-03 16:33:13,u026,electronics,350.14,pending
2026-06-03 16:33:13,u031,food,345.64,paid
2026-06-03 16:33:14,u015,food,45.5,paid
2026-06-03 16:33:15,u011,sports,6.38,paid
2026-06-03 16:33:15,u031,sports,292.03,paid
2026-06-03 16:33:15,u024,electronics,302.64,paid
2026-06-03 16:33:16,u030,sports,59.18,cancelled
2026-06-03 16:33:16,u018,food,463.25,paid
2026-06-03 16:33:19,u003,electronics,452.51,pending
2026-06-03 16:33:19,u008,electronics,439.54,paid
2026-06-03 16:33:20,u049,books,440.51,paid
2026-06-03 16:33:21,u033,sports,46.08,pending
2026-06-03 16:33:21,u020,sports,359.84,paid
2026-06-03 16:33:22,u027,food,70.09,paid
2026-06-03 16:33:24,u032,sports,189.19,paid
2026-06-03 16:33:25,u022,electronics,368.13,pending
2026-06-03 16:33:25,u022,sports,469.88,paid
2026-06-03 16:33:25,u044,books,260.0,paid
2026-06-03 16:33:28,u042,food,37.15,paid
2026-06-03 16:33:28,u013,food,294.18,pending
2026-06-03 16:33:28,u050,electronics,287.39,paid
2026-06-03 16:33:30,u018,food,209.08,paid
2026-06-03 16:33:36,u030,food,45.66,cancelled
2026-06-03 16:33:37,u014,electronics,33.07,pending
2026-06-03 16:33:38,u022,books,128.94,paid
2026-06-03 16:33:39,u004,food,33.85,pending
2026-06-03 16:33:40,u026,food,208.55,pending
2026-06-03 16:33:41,u038,food,392.77,paid
2026-06-03 16:33:43,u036,books,80.12,pending
2026-06-03 16:33:43,u012,electronics,66.01,paid
2026-06-03 16:33:44,u032,electronics,451.46,paid
2026-06-03 16:33:47,u003,books,124.37,paid
2026-06-03 16:33:47,u014,books,311.96,paid
2026-06-03 16:33:49,u033,sports,176.59,paid
2026-06-03 16:33:52,u010,books,492.89,paid
2026-06-03 16:33:59,u003,food,401.71,paid
2026-06-03 16:34:07,u001,food,140.09,paid
2026-06-03 16:36:32,u024,electronics,325.15,paid
2026-06-03 16:36:36,u030,electronics,80.34,paid
2026-06-03 16:36:37,u002,books,5.27,paid
2026-06-03 16:36:39,u031,sports,116.88,paid
2026-06-03 16:36:52,u010,sports,39.44,paid
2026-06-03 16:36:55,u050,food,185.18,pending
2026-06-03 16:36:57,u019,electronics,394.09,paid
2026-06-03 16:36:59,u014,food,189.4,paid
2026-06-03 16:37:00,u025,books,173.51,paid
2026-06-03 16:37:00,u017,books,417.48,paid
2026-06-03 16:37:03,u007,food,349.56,pending
2026-06-03 16:37:04,u018,sports,284.68,pending
2026-06-03 16:37:06,u044,electronics,282.03,paid
2026-06-03 16:37:07,u016,food,80.53,cancelled
2026-06-03 16:37:07,u028,sports,237.48,cancelled
2026-06-03 16:37:11,u021,sports,153.69,paid
2026-06-03 16:37:11,u008,electronics,204.88,paid
2026-06-03 16:37:15,u032,books,151.15,cancelled
2026-06-03 16:37:17,u032,sports,39.0,paid
2026-06-03 16:37:18,u029,books,337.9,cancelled
2026-06-03 16:37:18,u048,books,199.11,paid
2026-06-03 16:37:19,u005,electronics,144.09,paid
2026-06-03 16:37:19,u040,books,198.66,paid
2026-06-03 16:37:19,u049,food,367.19,cancelled
2026-06-03 16:37:19,u050,sports,376.75,paid
2026-06-03 16:37:22,u039,sports,34.39,paid
2026-06-03 16:37:22,u043,food,414.39,pending
2026-06-03 16:37:23,u006,sports,286.86,pending
2026-06-03 16:37:23,u041,sports,385.88,paid
2026-06-03 16:37:24,u021,electronics,56.72,paid
2026-06-03 16:37:26,u020,electronics,36.63,paid
2026-06-03 16:37:26,u003,electronics,173.95,cancelled
2026-06-03 16:37:27,u026,sports,295.52,pending
2026-06-03 16:37:28,u001,books,68.15,pending
2026-06-03 16:37:28,u034,food,214.88,paid
2026-06-03 16:37:29,u024,food,491.9,paid
2026-06-03 16:37:30,u040,electronics,289.83,cancelled
2026-06-03 16:37:30,u011,electronics,51.49,pending
2026-06-03 16:37:30,u009,sports,242.99,pending
2026-06-03 16:37:32,u045,books,278.7,paid
2026-06-03 16:37:32,u006,electronics,75.1,paid
2026-06-03 16:37:33,u043,food,359.54,paid
2026-06-03 16:37:33,u032,sports,99.25,paid
2026-06-03 16:37:34,u005,electronics,438.84,paid
2026-06-03 16:37:35,u001,electronics,160.03,cancelled
2026-06-03 16:37:35,u025,food,338.0,paid
2026-06-03 16:37:36,u045,books,442.15,cancelled
2026-06-03 16:37:38,u039,food,395.13,paid
2026-06-03 16:37:39,u003,books,496.65,paid
2026-06-03 16:37:40,u033,electronics,202.11,paid
2026-06-03 16:37:41,u043,electronics,437.9,paid
2026-06-03 16:37:42,u019,books,194.38,cancelled
2026-06-03 16:37:43,u003,books,302.82,paid
2026-06-03 16:37:44,u016,electronics,109.12,paid
2026-06-03 16:37:44,u038,food,339.68,paid
2026-06-03 16:37:44,u003,sports,343.92,paid
2026-06-03 16:37:46,u041,electronics,342.3,paid
2026-06-03 16:37:46,u035,sports,98.27,paid
2026-06-03 16:37:47,u030,food,458.6,cancelled
2026-06-03 16:37:48,u038,food,220.21,paid
2026-06-03 16:37:48,u006,electronics,330.14,paid
2026-06-03 16:37:48,u026,books,192.53,paid
2026-06-03 16:37:49,u023,electronics,460.12,paid
2026-06-03 16:37:51,u038,electronics,120.48,pending
2026-06-03 16:37:51,u031,electronics,181.89,paid
2026-06-03 16:37:53,u030,books,99.84,paid
2026-06-03 16:37:55,u050,sports,456.75,cancelled
2026-06-03 16:37:55,u011,electronics,435.58,paid
2026-06-03 16:37:55,u027,books,397.78,paid
2026-06-03 16:37:55,u012,food,416.26,paid
2026-06-03 16:37:55,u046,food,451.68,pending
2026-06-03 16:37:55,u040,sports,481.99,paid
2026-06-03 16:37:56,u037,sports,199.83,paid
2026-06-03 16:37:57,u014,electronics,103.49,paid
2026-06-03 16:37:57,u009,sports,74.47,paid
2026-06-03 16:37:57,u035,food,41.14,paid
2026-06-03 16:37:58,u046,food,371.02,paid
2026-06-03 16:38:01,u006,sports,322.69,paid
2026-06-03 16:38:02,u043,food,393.73,paid
2026-06-03 16:38:02,u019,electronics,408.05,paid
2026-06-03 16:38:03,u042,books,53.79,paid
2026-06-03 16:38:03,u026,sports,428.41,paid
2026-06-03 16:38:04,u007,books,448.8,paid
2026-06-03 16:38:05,u006,books,153.65,pending
2026-06-03 16:38:05,u035,sports,318.93,paid
2026-06-03 16:38:06,u048,books,416.16,pending
2026-06-03 16:38:06,u015,electronics,181.26,paid
2026-06-03 16:38:07,u049,electronics,300.82,paid
2026-06-03 16:38:12,u031,food,73.01,paid
2026-06-03 16:38:12,u036,sports,192.15,paid
2026-06-03 16:38:12,u034,electronics,120.38,paid
2026-06-03 16:38:13,u023,food,479.32,paid
2026-06-03 16:38:14,u046,sports,374.17,pending
2026-06-03 16:38:15,u022,sports,113.51,cancelled
2026-06-03 16:38:15,u045,sports,47.27,pending
2026-06-03 16:38:15,u028,electronics,488.64,paid
2026-06-03 16:38:19,u012,sports,44.3,paid
2026-06-03 16:38:21,u036,sports,55.68,cancelled
2026-06-03 16:38:22,u003,electronics,247.85,paid
2026-06-03 16:38:25,u009,books,188.91,paid
2026-06-03 16:38:26,u032,electronics,174.25,cancelled
2026-06-03 16:38:26,u048,food,79.83,paid
2026-06-03 16:38:27,u026,food,387.47,paid
2026-06-03 16:38:27,u002,books,455.9,paid
2026-06-03 16:38:27,u024,sports,205.12,pending
2026-06-03 16:38:29,u046,sports,413.41,paid
2026-06-03 16:38:30,u047,books,479.35,paid
2026-06-03 16:38:31,u037,books,423.95,paid
2026-06-03 16:38:31,u015,sports,445.56,paid
2026-06-03 16:38:33,u027,electronics,68.42,pending
2026-06-03 16:38:34,u011,electronics,115.04,pending
2026-06-03 16:38:34,u045,books,120.16,paid
2026-06-03 16:38:35,u002,electronics,411.97,cancelled
2026-06-03 16:38:36,u025,sports,140.84,paid
2026-06-03 16:38:37,u005,food,255.13,pending
2026-06-03 16:38:40,u041,electronics,345.58,paid
2026-06-03 16:38:46,u035,sports,450.88,paid
2026-06-03 16:38:47,u039,books,45.44,cancelled
2026-06-03 16:38:57,u037,food,28.87,pending
2026-06-03 16:38:59,u046,sports,444.66,cancelled
2026-06-03 16:42:07,u012,electronics,74.28,cancelled
2026-06-03 16:42:08,u014,electronics,35.91,paid
2026-06-03 16:42:12,u031,electronics,435.25,paid
2026-06-03 16:42:22,u020,books,478.69,pending
2026-06-03 16:42:24,u018,sports,321.17,pending
2026-06-03 16:42:32,u043,sports,13.15,pending
2026-06-03 16:42:32,u009,food,97.97,cancelled
2026-06-03 16:42:33,u010,books,312.19,cancelled
2026-06-03 16:42:33,u030,electronics,434.92,cancelled
2026-06-03 16:42:37,u050,food,148.93,cancelled
2026-06-03 16:42:45,u020,food,483.66,paid
2026-06-03 16:42:56,u001,sports,16.82,paid
2026-06-03 16:42:56,u028,books,362.48,paid
2026-06-03 16:42:57,u005,electronics,274.17,cancelled
2026-06-03 16:43:00,u041,books,302.14,paid
2026-06-03 16:43:02,u038,books,443.32,cancelled
2026-06-03 16:43:05,u019,books,426.81,paid
2026-06-03 16:43:05,u039,sports,266.48,cancelled
2026-06-03 16:43:08,u012,books,431.94,paid
